"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Canon EOS R5
主要賣點,"45MP 全片幅 CMOS1,053 點 AF12/20fps 連拍ISO 51200 高感光、8K 拍片Dual Pixel AFCanon Log 3"
相機格式,4500 萬像素，可換鏡頭式數碼相機
推出日期,約 2020 年 7 月 
耐用特性,防塵防水滴
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,4500 萬像素
有效像素,4500 萬像素
感光元件格式,35mm 全片幅
感光元件大小,36 x 24 mm
感光元件種類,CMOS
感光元件生產商,Canon
最大解像度,8192 x 5464
解像度選擇,"8192 x 5464 (L)
5808 x 3872 (M)
4176 x 2784 (S1)
2400 x 1600 (S2)
8192 x 5464 (RAW)
8192 x 5464 (C-RAW)"
壓縮模式,HEIF、JPEG (EXIF 2.3)
質素調較,RAW、C-RAW、HEIF、JPEG Fine、JPEG Normal
無壓縮影像格式,HEIF、RAW、C-RAW、RAW + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9 / 1:1 
動畫解像度,"8K：25.00p/24.00p (PAL) 
8K：29.97p/24.00p/23.98p (NTSC) 
4K：120p/60p/29.97p/24.00p/23.98p (NTSC) 
4K：100p/50p/25.00p/24.00p (PAL) 
全高清：120p/59.94p/29.97p/24.00p/23.98p (NTSC) 
全高清：100p/50.00p/25.00p/24.00p (PAL) "
動畫種類,MPEG-4 AVC/H.265分別可選 ALL-I（I-Only）、IPB 兩種
動畫音效,內置單聲道 / 支援外置收音
訊號轉換器,14-bit
雜訊消除,支援
防手震功能,感光元件位移 5 軸防震、最高 8 級（CIPA標準）
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.0 倍
自動對焦情況,"5,940點（當使用方向鍵選擇自動對焦點時的數量。如自動對焦範圍設定為自動選擇，對焦範圍會劃分為最多1053區）臉部＋追蹤自動對焦（此模式支援眼睛偵測自動對對）單點自動對焦自動對焦擴展（上、下、左及右）擴展自動對焦（周邊）區域自動對焦大區域自動對焦（垂直）大區域自動對焦（水平）人眼及動物眼睛（貓、狗、鳥類）自動對焦主體檢測自動對焦（賽車、電單車）"
AF Assist Light,支援
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Canon RF 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,以影像感應器實時測光，384 區（24 x 16）測光拍攝靜止影像：權衡式測光（連結所有自動對焦點）、局部測光 (覆蓋畫面中央約 5.8%區域)、重點測光 (覆蓋畫面中央約2.9%區域)、中央偏重平均測光短片記錄：中央偏重平均、權
曝光補償,-3EV 至 +3EV 以 1/3EV 或 1/2EV 級調整
自動曝光鎖,支援
包圍曝光,-3EV 至 +3EV，每次以 1/3EV 或 1/2EV 調整
ISO 感光值,ISO 100 - 51200、可擴展至 ISO 50-102400
白平衡設定,自動（氣氛優先）、自動（白色優先）、預設（日光、陰影、陰天、鎢絲燈、白光管、閃光燈）、色溫設定（2500 – 10000K）、自訂支援手動白平衡設定
自拍,10 / 2 秒延遲自拍模式
連拍,"20fps 高速連續拍攝 (電子快門)、12fps (機械快門)可連續拍攝 1,000 張或更多的JPEG或約240張RAW"
定時拍攝,支援 4K UHD 及 Full HD 縮時影片
"

	閃光燈 FLASHES"
閃燈模式,支援 E-TTL II 外置 閃光燈曝光、自動、強制開啟、紅眼消減、關閉
外接閃燈,支援，熱靴插座、支援 E-TTL II、閃光同步速度可達 1/200 秒，支援高速閃燈同步
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,3.2 吋  (210 萬 像素) 雙軸多角度觸控屏幕 熒光幕 ，視野率為 100 %
光學觀景器,0.5 吋、576 萬像素、0.76X 放大率，光學觀景器的準確度為 100%
播放放大,10X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC（兼容 UHS-I、UHS-II）、CFexpress（Type B）
接口,SuperSpeed USB Type-C (USB 3.1 Gen 2) 數碼端子、3.5mm直徑外接麥克風輸入端子、3.5mm直徑立體聲耳機端子、 HDMI micro (Type D)輸出端子、N3型端子
視頻輸出,micro HDMI
打印協定,PictBridge
"

	電源 POWER SUPPLIES"
電池種類,LP-E6NH 鋰離子充電池
電池手柄,BG-R10 直度電池手柄
隨機電池及充電器,LP-E6NH 鋰離子充電池及專用充電器 LC-E6E
電池壽命,360 張
支援火牛輸入,支援以 USB 電源轉接器 PD-E1（另購）經 USB Type-C 端子以交流電充電。另支援交流電可經由交流電轉接器AC-E6N（另購）及直流電連接器 DR-E6（另購）提供
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵防水滴
腳架座材料,金屬
機身重量,
重量(含電池),738 克
體積,138 x 98 x 88 mm
"

	其它資料 OTHERS"
搖遠控制,支援，提供 E3 型端子供遙控配件及支援無線遙控器 RC-6
"

	其它資料 OTHERS"
附註,支援以 USB 電源轉接器PD-E1（另購）經 USB Type-C 端子以交流電充電。
 ,規格比拼
