"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Canon EOS M6 Mark II
主要賣點,可換鏡設計、3250 萬像 APS-C CMOS、雙像素 CMOS 自動對焦、Digic 8 影像處理器、14fps 連拍、4K 無剪裁攝錄、Touch LCD、180° 翻轉 LCD
相機格式,3440 萬像素，可換鏡頭式數碼相機
推出日期,約 2019 年 8 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,3440 萬像素
有效像素,3250 萬像素
感光元件格式,APS-C
感光元件大小,22.3 x 14.9 mm
感光元件種類,CMOS
感光元件生產商,Canon
最大解像度,6960 x 4640
解像度選擇,[3:2] 6960 x 4640 (L) ; 4800 x 3200 (M) ; 3472 x 2320 (S1) ; 2400 x 1600 (S2) ; 6960 x 4640 (RAW) ; [16:9] 6960 x 3904 (L) ; 4800 x 2688 (M) ; 3472 x 1952 (S1) ; 2400 x 1344 (S2) ; 6960 x 4640 (RAW) ; [4:3] 6160 x 4640 (L) ; 4256 x 3200 (M) ; 3072 x 2320 (S1) ; 2112 x 1600 (S2) ; 6960 x 4640 (RAW) ; [1:1] 4640 x 4640 (L) ; 3200 x 3200 (M) ; 2320 x 2320 (S1) ; 1600 x 1600 (S2) ; 6960 x 4640 (RAW)
壓縮模式,JPEG (EXIF 2.3)
質素調較,"Normal, Fine, RAW"
無壓縮影像格式,14-bit RAW(CR3、C-RAW)
影像比例,3:2 / 4:3 / 16:9 / 1:1
動畫解像度,4K [3840 x 2160]: 29.97pFull HD [1920 x 1080]: 119.88p / 59.94p / 29.97 fpsHD [1280 x 720]: 59.94p
動畫種類,MPEG-4 AVC / H.264
動畫音效,支援立體聲收音
訊號轉換器,14 bit
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.6 倍
自動對焦情況,Dual Pixel CMOS AF人面對焦Eye Focus人面追蹤多區對焦單點自訂對焦單點對焦連續追蹤對焦
AF Assist Light,支援 (可選擇開啟或關閉)
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,EF-M
轉換鏡頭,EF-EOS M
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,"程式自動曝,  光快門先決自動曝光,  光圈先決自動曝光,  靈活先決自動曝光,  手動曝光,  B快門曝光, 智能自動場景,  混合自動,  特殊場景（自拍人像,  人像,  平滑肌膚,  風景,  運動,  搖攝,  近攝,  食物,  夜間人像,  "
快門速度,1/16000 至 30 秒，支援 B 快門
測光模式,"平均測光 (Evaluative), 中央重點平均測光 (Centre-Weighted Averaging), 點測光 (Spot)"
曝光補償,-2EV 至 +2EV 以 1/3EV 級調整
自動曝光鎖,支援
包圍曝光,支援
ISO 感光值,100 / 200 / 400 / 800 / 1600 / 3200 / 6400/ 12800 / 25600 / 51200 (Hi)
白平衡設定,"自動, 預設 (Daylight, Cloudy, Tungsten, Fluorescent, Fluorescent H, Flash, Underwater), 手動白平衡自訂手動白平衡設定"
自拍,"2 秒, 10 秒, 自訂時間, 面部偵測自拍模式"
連拍,14fps
定時拍攝,"支援, 1 - 60 分鐘, 1 - 100 張"
"

	閃光燈 FLASHES"
閃燈模式,自動 / 強制開啟 / 紅眼消減 / 慢快門同步 / 閉閉 / FE lock / 後簾同步
閃燈範圍,GN 4.6 @ ISO 100
外接閃燈,支援，熱靴插座 (Hot Shoe)，支援 E-TTL II 自動閃光
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,3.0 吋  (104 萬點 像素) Clear View II TFT Touch LCD 熒光幕 ，視野率為 100 %
光學觀景器,沒有光學觀器
播放放大,10X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC 
接口,"USB 3.0, AV 輸出, HDMI"
視頻輸出,PAL 及 NTSC
打印協定,"PictBridge, Digital Print Order Format (DPOF) Version 1.1"
"

	電源 POWER SUPPLIES"
電池種類,LP-E17 鋰離子充電池
隨機電池及充電器,LP-E17
電池壽命,305 張
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,361 克
重量(含電池),408 克
體積,119.6 x 70.0 x 49.2mm
"

	其它資料 OTHERS"
"

	其它資料 OTHERS"
附註,"雙像素 CMOS 自動對焦（Dual Pixel CMOS AF）
DIGIC 8 影像處理器
感光度推展至 ISO 51200
14-bit RAW
支援 4K 無剪裁拍片
可外接 EVF
支援 USB 充電"
 ,規格比拼
