"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Canon EOS R
主要賣點,"30.4MP 全片幅 CMOS、5,655 點 AF、8fps 連拍、ISO 102400 高感光、4K 拍片、Dual Pixel AF、Dual Pixel RAW 拍攝、C-RAW 記錄、-6EV AF"
相機格式,3170 萬像素，可換鏡頭式數碼相機
推出日期,約 2018 年 9 月 
耐用特性,防塵防水滴
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,3170 萬像素
有效像素,3030 萬像素
感光元件格式,35mm 全片幅
感光元件大小,36 x 24 mm
感光元件種類,CMOS
感光元件生產商,Canon
最大解像度,6720 x 4480
解像度選擇,"(3:2) : 6720 x 4480 ; 4464 × 2976 ; 3360 x 2240 ; 2400 x 1600 (1.6x) : 4176 x 2784 ; 2400 x 1600
(16:9) : 6720 x 3776 ; 4464 x 2512 ; 3360 x 1888 ; 2400 x 1344
(1:1) : 4480 x 4480 ; 2976 x 2976 ; 2240 x 2240 ; 1600 x 1600"
壓縮模式,JPEG (EXIF 2.3)
質素調較,DPRAW、RAW、C-RAW、JPEG Fine、JPEG Normal
無壓縮影像格式,DPRAW、RAW、C-RAW、RAW + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9 / 1:1 
動畫解像度,"4K：29.97p/24.00p/23.98p (NTSC) 
4K：25.00p/24.00p (PAL) 
全高清：59.94p/29.97p/24.00p/23.98p (NTSC) 
全高清：50.00p/25.00p/24.00p (PAL) 
高清：119.9p (NTSC) 
高清：100.0p (PAL) "
動畫種類,MPEG-4 AVC/H.264分別可選 ALL-I（I-Only）、IPB 兩種
動畫音效,內置單聲道 / 支援外置收音
訊號轉換器,14-bit
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.0 倍
自動對焦情況,"5,655點（當使用方向鍵選擇自動對焦點時的數量。如自動對焦範圍設定為自動選擇，對焦範圍會劃分為最多143區）臉部＋追蹤自動對焦（此模式支援眼睛偵測自動對對）單點自動對焦自動對焦擴展（上、下、左及右）擴展自動對焦（周邊）區域自動對焦大區域自動對焦（垂直）大區域自動對焦（水平）"
AF Assist Light,以閃光燈頻閃
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Canon RF 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,以影像感應器實時測光，384 區（24 x 16）測光拍攝靜止影像：權衡式測光（連結所有自動對焦點）、局部測光（覆蓋畫面中央約 6.1% 區域）、重點測光（覆蓋畫面中央約 2.7% 區域 )、中央偏重平均測光短片記錄：中央偏重平均
曝光補償,-3EV 至 +3EV 以 1/3EV 或 1/2EV 級調整
自動曝光鎖,支援
包圍曝光,-3EV 至 +3EV，每次以 1/3EV 或 1/2EV 調整
ISO 感光值,ISO 100 - 40000、可擴展至 ISO 50-102400
白平衡設定,自動（氣氛優先）、自動（白色優先）、預設（日光、陰影、陰天、鎢絲燈、白光管、閃光燈）、色溫設定（2500 – 10000K）、自訂支援手動白平衡設定
自拍,10 / 2 秒延遲自拍模式
連拍,8fps 高速連續拍攝；追蹤對焦為最高 5fps 可連續拍攝100 張 JPEG 或 47 張 RAWRAW + JPEG 可連拍 39 張 (UHS-II)
定時拍攝,電腦控制（以 USB 連接）
"

	閃光燈 FLASHES"
閃燈模式,支援 E-TTL II 外置 閃光燈曝光、自動、強制開啟、紅眼消減、關閉
外接閃燈,支援，熱靴插座、支援 E-TTL II、閃光同步速度可達 1/200 秒，支援高速閃燈同步
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,3.15 吋  (210 萬 像素) 雙軸多角度觸控屏幕 熒光幕 ，視野率為 100 %
光學觀景器,0.5吋、369 萬像素、0.76X 放大率，光學觀景器的準確度為 100%
播放放大,10X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC
接口,SuperSpeed USB (3.1 Gen1) / USB Type C、3.5mm 直徑外接麥克風輸入端子、3.5mm 直徑立體聲耳機端子、兼容遙控開關 RS-60E3、兼容無線遙控器 BR-E1（藍牙傳輸）
視頻輸出,HDMI 迷你輸出端子
打印協定,PictBridge
"

	電源 POWER SUPPLIES"
電池種類,LP-E6N 鋰離子充電池
隨機電池及充電器,LP-E6N 鋰離子充電池及專用充電器 LC-E6E
電池壽命,370 張、450 張（節能模式)）
支援火牛輸入,直流電連接器 DR-E6（另購）
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵防水滴
腳架座材料,金屬
機身重量,580 克
重量(含電池),660 克
體積,135.8 x 98.3 x 84.4mm
"

	其它資料 OTHERS"
搖遠控制,支援，無線遙控器 BR-E1、快門線 RS-60E3、遙控器適配器 RA-E3
"

	其它資料 OTHERS"
附註,支援以 USB 電源轉接器PD-E1（另購）經 USB Type-C 端子以交流電充電。
 ,規格比拼
