"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Canon EOS R3
主要賣點,"2,400 萬全片幅層疊式 CMOS1,053 點 AF12/30fps 連拍ISO 204800 高感光Dual Pixel CMOS AF眼控自動對焦"
相機格式,2700 萬像素，可換鏡頭式數碼相機
推出日期,約 2021 年 9 月 
耐用特性,防塵防水滴
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2700 萬像素
有效像素,2400 萬像素
感光元件格式,35mm 全片幅
感光元件大小,36 x 24 mm
感光元件種類,CMOS
感光元件生產商,Canon
最大解像度,6000 x 4000
解像度選擇,"6000 x 4000 (L)
3984 x 2656 (M)
2976 x 1984 (S1)
2400 x 1600 (S2)
6000 x 4000 (RAW)
6000 x 4000 (C-RAW)"
壓縮模式,HEIF、JPEG (EXIF 2.31)
質素調較,RAW、C-RAW、HEIF、JPEG Fine、JPEG Normal
無壓縮影像格式,RAW、C-RAW
影像比例,3:2 / 4:3 / 16:9 / 1:1 
動畫解像度,"6K RAW (6000 x 3164)：59.94 fps / 29.97 fps / 24.00 fps / 23.98 fps (NTSC)
6K RAW (6000 x 3164)：50.00 fps / 25.00 fps / 24.00 fps (PAL)
4K DCI (4096 x 2160)：119.88 fps / 59.94 fps / 29.97 fps / 24.00 fps / 23.98 fps (NTSC)
4K DCI (4096 x 2160)：100.00 fps / 50.00 fps / 25.00 fps / 24.00 fps (PAL)
4K UHD (3840 x 2160)：119.88 fps / 59.94 fps / 29.97 fps / 24.00 fps / 23.98 fps (NTSC)
4K UHD (3840 x 2160)：100.00 fps / 50.00 fps / 25.00 fps / 24.00 fps (PAL)
Full HD (1920 x 1080)：119.88 fps / 59.94 fps / 29.97 fps / 24.00 fps / 23.98 fps (NTSC)
Full HD (1920 x 1080)：100.00 fps / 50.00 fps / 25.00 fps / 24.00 fps (PAL)"
動畫種類,H.265/HEVC（Canon Log 3 開，或 HDR PQ 開）；H.264/MPEG-4 AVC（Canon Log 3 關、HDR PQ 關）分別可選 ALL-I（I-Only）、IPB 兩種
動畫音效,內置單聲道 / 支援外置收音
訊號轉換器,14-bit
雜訊消除,支援
防手震功能,感光元件位移 5 軸防震、最高 8 級（CIPA標準，需配合特定鏡頭）
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.0 倍
自動對焦情況,"4,779 點（當使用方向鍵選擇自動對焦點時的數量。如自動對焦範圍設定為自動選擇，對焦範圍會劃分為最多 1,053 區）臉部＋追蹤自動對焦（此模式支援眼睛偵測自動對對）單點自動對焦自動對焦擴展（上、下、左及右）擴展自動對焦（周邊）區域自動對焦大區域自動對焦（垂直）大區域自動對焦（水平）人眼及動物眼睛（貓、狗、鳥類）自動對焦主體檢測自動對焦（賽車、電單車）"
AF Assist Light,支援
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Canon RF 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/64000 至 30 秒，支援 B 快門
測光模式,以影像感應器實時測光，384 區（24 x 16）測光拍攝靜止影像：權衡式測光（連結所有自動對焦點）、局部測光 (覆蓋畫面中央約 5.9% 區域)、重點測光 (覆蓋畫面中央約 2.9% 區域)、中央偏重平均測光
曝光補償,-3EV 至 +3EV 以 1/3EV 或 1/2EV 級調整
自動曝光鎖,支援
包圍曝光,-3EV 至 +3EV，每次以 1/3EV 或 1/2EV 調整
ISO 感光值,ISO 100 - 102400、可擴展至 ISO 50-204800
白平衡設定,自動（氣氛優先）、自動（白色優先）、預設（日光、陰影、陰天、鎢絲燈、白光管、閃光燈）、色溫設定（2500 – 10000K）、自訂支援手動白平衡設定
自拍,10 / 2 秒延遲自拍模式
連拍,30fps 高速連續拍攝（電子快門）、12fps（機械快門）可連續拍攝 410 張或更多的 JPEG 或約 150 張 RAW
定時拍攝,支援 4K UHD 及 Full HD 縮時影片
"

	閃光燈 FLASHES"
閃燈模式,支援 E-TTL II 外置 閃光燈曝光、自動、強制開啟、紅眼消減、關閉
外接閃燈,支援，數碼介面熱靴插座、支援 E-TTL II、閃光同步速度可達 1/250 秒，電子快門支援閃光燈連續拍攝
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,3.2 吋  (415 萬 像素) 側反式多角度觸控屏幕，張開角度：約 175 度、旋轉角度：約 270 度 熒光幕 ，視野率為 100 %
光學觀景器,0.5 吋、576 萬像素、0.76X 放大率，光學觀景器的準確度為 100%
播放放大,10X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC（兼容 UHS-I、UHS-II）、CFexpress（Type B）
接口,SuperSpeed USB Type-C (USB 3.2 Gen 2) 數碼端子、3.5mm 直徑外接麥克風輸入端子、3.5mm 直徑立體聲耳機端子、 HDMI micro (Type D) 輸出端子、N3 型端子、數碼介面熱靴插座
視頻輸出,Micro HDMI（Type D）
打印協定,PictBridge
"

	電源 POWER SUPPLIES"
電池種類,LP-E19 鋰離子充電池
隨機電池及充電器,LP-E19 鋰離子充電池及專用充電器 LC-E19
電池壽命,760 張
支援火牛輸入,支援以 USB 電源轉接器 PD-E1（另購）經 USB Type-C 端子以交流電充電。另支援交流電可經由交流電轉接器 AC-E6N（另購）及直流電連接器 DR-E6（另購）提供
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵防水滴
腳架座材料,金屬
機身重量,
重量(含電池),1015 克
體積,150.0 x 142.6 x 87.2 mm
"

	其它資料 OTHERS"
搖遠控制,支援，提供 E3 型端子供遙控配件及支援無線遙控器 RC-6
"

	其它資料 OTHERS"
