"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Canon EOS RP
主要賣點,2620 萬全片幅 CMOS、反芒設計、支援 Dual Pixel CMOS AF、4K 拍片、440g  機身
相機格式,2710 萬像素，可換鏡頭式數碼相機
推出日期,約 2019 年 2 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2710 萬像素
有效像素,2620 萬像素
感光元件大小,35.9 x 24mm
感光元件種類,CMOS
最大解像度,6240 x 4160
解像度選擇,"3:2 ratio (L, RAW, C-RAW) 6240 x 4160 ; (M1) 4160 x 2768 ;  (S1) 3120 x 2080 ; (S2) 2400 x 1600 ; 1.6x (crop) (L) 3888 x 2592 ; (S2) 2400 x 1600 ; 4:3 ratio (L) 5536 x 4160 ;  (M1) 3680 x 2768 ; (S1) 2768 x 2080 ; (S2) 2112 x 1600 ; 
16:9 ratio (L) 6240 x 3504 ; (M1) 4160 x 2336 ; (S1) 3120 x 1752 ; (S2) 2400 x 1344 ; 1:1 ratio (L) 4160 x 4160 ;  (M1) 2768 x 2768 ; (S1) 2080 x 2080 ; (S2) 1600 x 1600"
壓縮模式,JPEG
質素調較,"Fine, Normal"
無壓縮影像格式,"Raw, C-RAW"
影像比例,3:2 / 4:3 / 16:9 / 1:1 
動畫解像度,"4K (16:9) 3840 x 2160 (25, 23.98fps) 
4K Time-lapse (16:9) 3840 x 2160 (29.97, 25 fps) All-I
Full HD (16:9) 1920 x 1080 (59.94, 50, 29.97, 25 fps) 
Full HD HDR (16:9) 1920 x 1080 (29.97, 25 fps) 
HD (16:9) 1280 x 720 (59.94, 29.97, 50, 25 fps)
HD HDR(16:9) 1280 x 720 (29.97, 25 fps)"
動畫種類,MPEG4 AVC/H.264 無間斷有聲影片
動畫音效,"stereo, 可外接收音"
多媒體功能,"內置、WiFi / NFC 及 Bluetooth
內置電子水平儀"
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定 
鏡片焦距,視鏡頭而定  mm
135 格式焦距,視鏡頭而定  mm 至 視鏡頭而定  mm
變焦能力,視鏡頭而X
數碼變焦,視鏡頭而定 X
光圈範圍,視鏡頭而定 
焦距變換比率,1 倍
自動對焦情況,"4,779點（當使用方向鍵選擇自動對焦點時的數量。如自動對焦範圍設定為自動選擇，對焦範圍會劃分為最多143區）臉部＋追蹤自動對焦（此模式支援眼睛偵測自動對對）單點自動對焦自動對焦擴展（上、下、左及右）擴展自動對焦（周邊）區域自動對焦大區域自動對焦（垂直）大區域自動對焦（水平）"
AF Assist Light,不支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Canon RF 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/4000 至 30 秒，支援 B 快門
測光模式,384 區感測局部測光點測光 (Spot Metering)中央偏重權衡測光
曝光補償,-5EV 至 +5EV 以 1/3 EV; 1/2 EV  級調整
自動曝光鎖,支援
包圍曝光,支援以 1/3EV - 1/2 EV 間距連拍三張
ISO 感光值,"Auto, 100 - 40000 / 擴充模式：ISO 50, 51200, 102,400"
白平衡設定,自動、日光、陰影、密雲、鎢絲燈、光管、閃光燈、直接手動指定色溫 (Kelvin) 支援手動白平衡設定支援手動白平衡設定
自拍,2 秒及10 秒延時自拍自拍模式自拍模式
連拍,5 fps
定時拍攝,支援 (使用電腦控制)
"

	閃光燈 FLASHES"
閃燈模式,支援 E-TTL II 閃燈曝光 / 自動 / 強制開啟 / 紅眼消減 / 關閉
外接閃燈,"支援，熱靴, 最高同步速度 1/180s "
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (1,040,000 像素) 多角度 Touch LCD 熒光幕 ，視野率為 100 %"
光學觀景器,"0.39 吋 236 萬解像 EVF, 0.70x 放大率，光學觀景器的準確度為 100%"
播放放大,10X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC
接口,USB 2.0
視頻輸出,HDMI (Type C)
打印協定,DPOF、PictBridge、EXIF 2.3
"

	電源 POWER SUPPLIES"
電池種類,LP-E17 鋰離子充電池
隨機電池及充電器,LP-E17  鋰離子充電池及專用充電器
電池壽命,250 張
支援火牛輸入,支援 (另購)
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,440 克
重量(含電池),485 克
體積,132.5 × 85.0 × 70.0mm
"

	其它資料 OTHERS"
搖遠控制,支援，Remote control with E3 type socket
隨機軟件,Digital Photo Professional
 ,規格比拼
