"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon 1 J2
主要賣點,高速 Hybrid AF、Full HD 高清拍片、60fps 高速連拍、3 吋 LCD、內置閃燈
相機格式,1200 萬像素，可換鏡頭式數碼相機
推出日期,約 2012 年 8 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1200 萬像素
有效像素,1010 萬像素
感光元件大小,13.2 x 8.8 mm
感光元件種類,CMOS
最大解像度,3872 x 2592
解像度選擇,3872 x 2592 ; 2896 x 1944 ; 1936 x 1296 ; 3840 x 2160 ; 1920 x 1080 ; 1280 x 720 ; 3840 x 2160
壓縮模式,JPEG
質素調較,"Fine, Standard"
無壓縮影像格式,NEF、NEF + JPEG (Fine)、RAW + JPEG (Standard)
影像比例,3:2 / 16:9
動畫解像度,"HD 短片1,920 x 1,080/60i (59.94 fields/s *) ; 1,920 x 1,080/30p (29.97 fps); 1,280 x 720/60p (59.94 fps)；1072 x 720 (59.94 fps)慢速動作短片 640 x 240/400 fps (播放時採用 30p/29.97 fps); 320 x 120/1,200 fps (播放時採用 30p/29.97 fps)；以靜態影像模式記錄的短片：1,072 x 720/60p (59.94 fps)； 動態快照 1,920 x 1,080/60p (59.94 fps) (播放時採用 24p/23.976 fps)；320 x 240 (400), 320 x 120 (1200)"
動畫種類,H.264/MPEG-4
動畫音效,"立體聲, 支援外置收音"
訊號轉換器,12 bits
雜訊消除,支援，可選擇開關
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定 
鏡片焦距,視鏡頭而定  mm
135 格式焦距,視鏡頭而定  mm 至 視鏡頭而定  mm
變焦能力,視鏡頭而定 X
光圈範圍,視鏡頭而定
焦距變換比率,2.7 倍
自動對焦情況,Hybrid AF 系統、135 點對焦
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon 1 接環，可透過接環使用 Nikon F 鏡頭
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/4000 ; 1/16000 至 30 秒，支援 B 快門
測光模式,TTL 多區測光重心偏重平均測光重點測光
曝光補償,-3EV 至 +3EV 以 1/3EV 級調整
自動曝光鎖,支援
ISO 感光值,自動 / 100 / 200 / 400 / 800 / 1600 / 3200 / 6400 (擴展)
白平衡設定,自動、白熾燈、螢光燈、直射陽光、閃光燈、陰天、陰影、預設手動，除預設手動以外均可進行微調支援手動白平衡設定
自拍,2 秒及10 秒延時自拍自拍模式 自拍模式
連拍,60 fps
"

	閃光燈 FLASHES"
閃燈模式,補充閃光、慢速同步、減輕紅眼、慢速同步連減輕紅眼、後簾同步、後簾慢速同步
閃燈範圍,5 米
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (921,000 像素) TFT LCD 熒光幕 ，視野率為 100 %"
光學觀景器,沒有光學觀器
播放放大,13X
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC
接口,USB 2.0
視頻輸出,PAL / NTSC / HDMI
打印協定,PictBridge / DPOF / Exif Print / PIM III
"

	電源 POWER SUPPLIES"
電池種類,EN-EL20 鋰離子充電池
隨機電池及充電器,EN-EL20 鋰離子充電池及專用充電器
支援火牛輸入,支援
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,234 克
重量(含電池),277 克
體積,106.0 x 61.0 x 29.8 mm
"

	其它資料 OTHERS"
搖遠控制,支援，Yes (Optional ML-L3)
"

	其它資料 OTHERS"
附註,"優雅的金屬機身，特設 6種顏色。
J2 除原有的 4 種拍攝模式外，更增設創意模式，用家可從夜景等 8 種場景中，選取理想的影像效果。
用家只須使用伸縮鏡身上的按鍵，即可開關相機。
"
 ,規格比拼
