"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon 1 S2
主要賣點,"Hybrid AF 高速對焦、EXPEED 4A 影像處理引擎、60fps 高速連拍、1,420 萬像素"
相機格式,1420 萬像素，可換鏡頭式數碼相機
推出日期,約 2014 年 5 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1420 萬像素
有效像素,1418 萬像素
感光元件格式,1 吋
感光元件大小,1 吋
感光元件種類,CMOS
最大解像度,4592 x 3072
解像度選擇,( 3:2 ) 4592 x 3072 ; 3440 x 2296 ; 2288 x 1528( 16:9 ) 4592 x 2576
壓縮模式,JPEG：兼容 JPEG-Baseline，壓縮率（約）為精細（1 : 4）、標準（1 : 8）或基本（1 : 16）
質素調較,
無壓縮影像格式,12-bit RAW
影像比例,3:2 / 16:9 
動畫解像度,"FHD : 1920 x 1080 / 60p FHD : 1920 x 1080 / 30p HD : 1280 x 720 / 60p HD : 1280 x 720 / 30p Slow-motion : 640 x 240 / 400fps Slow-motion : 320 x 120 / 1200fps Motion Snapshot : 1,280 x 720 / 60p ( plays at 24p ) "
動畫種類,MPEG-4 / H.264 無間斷有聲影片
動畫音效,AAC 立體聲
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,2.7 倍
自動對焦情況,混合自動對焦（相位偵測 AF/ 對比偵測 AF） 自動對焦模式：單次 AF（AF-S）; 連續 AF（AF-C）； 自動 AF-S/AF-C 選擇（AF-A）; 全時間 AF（AF-F）; 手動對焦（AF 區域模式：單點、自動區域、主體追蹤 對焦局域單點 AF：135 點對焦區域；中央 73 點對焦區域支援相位偵測 AF；自動區域 AF：41 點對焦區域； 對焦鎖定：半按快門釋放按鍵可鎖定對焦（單次 AF） 臉部優先開啟 / 關閉
AF Assist Light,支援
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon 1 mount
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,夜景、夜間人像、逆光、柔焦、微縮模型效果、保留特定色彩；捕捉最佳瞬間（慢速查看和智能相片選擇器）、先進短片（HD—僅限於P、S、A、M—和慢速動作）、 動態快照
快門速度,1/16000 至 30 秒，支援 B 快門
測光模式,矩陣；偏重中央測光：對畫面中央 4.5 mm 直徑圈測光；重點測光：對以所選對焦區域為中心的 2mm 直徑圈測光
曝光補償,-3EV 至 +3EV 以 1/3 EV 級調整
自動曝光鎖,支援
ISO 感光值,Auto /  ISO 200 / 200 / 400 / 800 / 1600 / 3200 / 6400 / 12800
白平衡設定,"預設, 自動, 睛天, 陰天, 陰影, 螢光燈, 陽光直射, 白熱燈, 水底, 閃光燈支援手動白平衡設定"
自拍,2 秒 / 5 秒 / 10 秒自拍模式
連拍,約 5、10、20、30 或 60 fps
"

	閃光燈 FLASHES"
閃燈模式, 自動 / 自動 + 紅眼消減 / 補光 / 補光 + 慢速同步 / 紅眼消減 / 紅眼消減 + 慢速同步 / 後簾同步 / 慢速後簾同步 / 關閉 / 支援 - 3EV - + 1EV 閃燈補償
閃燈範圍,5 米
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (460,000 像素) TFT LCD 熒光幕 ，視野率為 100 %"
光學觀景器,沒有光學觀器
"

	資料存取 DATA TRANSFER"
儲存媒體,microSD / microSDHC / microSDXC
接口,USB 2.0 / HDMI-D
打印協定,DPOF、PictBridge、EXIF 2.3、DCF
"

	電源 POWER SUPPLIES"
電池種類,EN-EL22 鋰離子充電池
隨機電池及充電器,專用 EN-EL22 鋰離子充電池及隨機附送 MH-29 專用充電器
電池壽命,270
支援火牛輸入,AC Adapter EH-5b（另購）
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,190 克
重量(含電池),230 克
體積,101 x 60.8 x 29.4mm
"

	其它資料 OTHERS"
搖遠控制,支援，WU-1b Wireless Mobile Adapter
隨機軟件,Nikon ViewNX 2
"

	其它資料 OTHERS"
附註,使用 EXPEED 4A 影像處理器內置 i-TTL 閃光燈Live Image Control多種藝術濾鏡智能照片選擇器動態快照
 ,規格比拼
