"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon Z fc
主要賣點,"設計靈感源於 Nikon FM2APS-C 片幅EXPEED 6 影像處理器209 點相位檢測自動對焦支援人類和動物眼部自動對焦3""、104 萬像素側反式觸控屏幕11fps 高速連拍防塵防水滴"
相機格式,2151 萬像素，可換鏡頭式數碼相機
推出日期,約 2021 年 6 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2151 萬像素
有效像素,2090 萬像素
感光元件格式,APS-C
感光元件大小,23.5 x 15.7mm
感光元件種類,CMOS
最大解像度,5568 x 3712
解像度選擇,"DX (24 x 16)：5568 x 3712（2,070 萬）、4176 x 2784（1,160 萬）、2784 x 1856（520 萬）
1:1：3712 x 3712（1,380 萬）、2784 x 2784（780 萬）、1856 x 1856（340 萬）
16:9 (24 x 14)：5568 x 3128（1,740 萬）、4176 x 2344（980 萬）、2784 x 1560（430 萬）"
壓縮模式,JPEG (EXIF 2.31)
質素調較,精細、標準、基本
無壓縮影像格式,12/14-bit NEF (RAW)
影像比例,3:2、16:9、1:1
動畫解像度,"4K：3840 x 2160（幀率：24p、25p、30p）
全高清：1920 x 1080（幀率：24p、25p、30p、50p、60p、100p、120p）"
動畫種類,MOV、MP4（H.264/MPEG-4）
動畫音效,線性 PCM（用於以 MOV 格式攝錄的短片）AAC（用於以 MP4 格式攝錄的短片）
訊號轉換器,14-bit
雜訊消除,關閉、低、一般、高
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.5 倍
自動對焦情況,偵測範圍：-3 至 +19EV（使用低光 AF：-4 至 +19EV） 對焦模式：AF-S 單次自動對焦、AF-C 連續自動對焦、AF-F 全時自動對焦、M 手動對焦自動對焦點數目：209 點AF 區域模式：精確對焦 AF（只適用於相片模式）、單點 AF；動態區域 AF（只適用於相片模式）；廣闊區域 AF（S）；廣闊區域 AF（L）；廣闊區域 AF（L-人物）；廣闊區域 AF（L-動物）；自動區域 AF；自動區域 AF（人物）；自動區域 AF（動物）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon Z
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,自動、程式自動（P）、快門先決（S）、光圈先決（A）、手動曝光（M）
快門速度,1/4000 至 900 秒，支援 B 快門
測光模式,矩陣測光 偏重中央測光：以畫面中央為中心，圍繞其四周 8mm 的範圍獲分配 75% 比重；亦可以整幅畫面平均計算 重點測光：以已選對焦點為中心，圍繞其四周 3.5mm 的範圍測光（約佔畫面 2.5%） 高光偏重測光
曝光補償,+/-5 EV 以 可以 1/3 級調 級調整
自動曝光鎖,支援
包圍曝光,支援
ISO 感光值,標準範圍：ISO 100 - 51200 擴展後範圍：ISO 100 - 204800
白平衡設定,自動（3 種類型）、自然光自動適應、晴天、陰天、陰影、白熾燈、螢光燈（3 種類型）、閃光燈、色溫（2500K - 10000K）、手動預設（最多可保存 6 個數值，點測白平衡測量可在即時取景中使用）支援手動白平衡設定
自拍, 2 秒、5 秒、10 秒、20 秒；1 至 9 次曝光，每隔 0.5、1、2 或 3 秒曝光一次自拍模式
連拍,低速連拍：約 1 至 4fps 高速連拍：約 11fps 高速連拍（延展）：約 11fps
定時拍攝,支援
"

	閃光燈 FLASHES"
閃燈模式,關閉閃燈、前簾同步、後簾同步、防紅眼、慢速同步、防紅眼慢速同步
外接閃燈,支援，熱靴
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3"" 吋  (104 萬 像素) 側反式多角度觸控屏幕 熒光幕 ，視野率為 100 %"
光學觀景器,"0.39""、236 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,SD、SDHC、SDXC 插槽（兼容 UHS-I）
接口,USB 3.2 Gen 1、3.5mm 收音咪、HDMI Micro（Type D）、Wi-Fi、藍牙 4.2
視頻輸出,HDMI Micro（Type D）
"

	電源 POWER SUPPLIES"
電池種類,EN-EL25 鋰離子充電池
隨機電池及充電器,EN-EL25 鋰離子充電池及MH-32 鋰離子電池充電器支援 USB 充電及供電（PD 標準）
電池壽命,約 300 張（CIPA 標準）
支援火牛輸入,EH-7P AC 變壓器（另行發售）
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,
重量(含電池),445 克
體積,134.5 x 93.5mm x 43.5mm
"

	其它資料 OTHERS"
 ,規格比拼
