"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon Z6 II
主要賣點,全片幅背照式 CMOS雙 EXPEED 6 影像處理器273 點相位檢測自動對焦支援人類和動物眼部自動對焦UHS-II SD/CFexpress 雙插卡5 軸 5 級防震14fps 高速連拍
相機格式,2528 萬像素，可換鏡頭式數碼相機
推出日期,約 2020 年 10 月 
耐用特性,防塵、防水滴
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2528 萬像素
有效像素,2450 萬像素
感光元件格式,35mm 全片幅
感光元件大小,35.9 x 23.9mm
感光元件種類,CMOS
最大解像度,6048 x 4024
解像度選擇,"FX (36 x 24)：6048 x 4024（2,430 萬）、4528 x 3016（1,370 萬）、3024 x 2016（610 萬）
DX (24 x 16)：3936 x 2624（1,030 萬）、2944 x 1968（580 萬）、1968 x 1312（260 萬）
1:1 (24 x 24)：4016 x 4016（1,610 萬）、3008 x 3008（900 萬）、2000 x 2000（400 萬）
16:9 (36 x 20)：6048 x 3400（2,060 萬）、4528 x 2544（1,150 萬）、3024 x 1696（510 萬）"
壓縮模式,JPEG (EXIF 2.31)
質素調較,精細、標準、基本
無壓縮影像格式,12/14-bit NEF (RAW)
影像比例,3:2、16:9、1:1
動畫解像度,"4K（全像素輸出，非像素合併）：3840 x 2160（幀率：24p、25p、30p）
4K（DX 格式）：3840 x 2160（幀率：60p）
全高清：1920 x 1080（幀率：24p、25p、30p、50p、60p、100p、120p）"
動畫種類,MOV、MP4（H.264/MPEG-4）
動畫音效,線性 PCM（用於以 MOV 格式攝錄的短片）AAC（用於以 MP4 格式攝錄的短片）
訊號轉換器,14-bit
雜訊消除,關閉、低、一般、高
防手震功能,5 軸 5 級感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況,偵測範圍：-4.5 至 +19EV（使用低光 AF：-6 至 +19EV） 對焦模式：AF-S 單次自動對焦、AF-C 連續自動對焦、AF-F 全時自動對焦、M 手動對焦自動對焦點數目：273 點AF 區域模式：精確對焦（只適用於相片模式）、單點及動態區域 AF（只適用於相片模式）；廣闊區域 AF（S）；廣闊區域 AF（L）；廣闊區域 AF（L-人物）；廣闊區域 AF（L-動物）；自動區域 AF；自動區域 AF（人物）；自動區域 AF（動物）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon Z
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,自動、程式自動（P）、快門先決（S）、光圈先決（A）、手動曝光（M）、用戶設定（U1、U2、U3）
快門速度,1/8000 至 900 秒，支援 B 快門
測光模式,矩陣測光 偏重中央測光：以畫面中央為中心，圍繞其四周 12mm 的範圍獲分配 75% 比重；亦可以整幅畫面平均計算 重點測光：以已選對焦點為中心，圍繞其四周 4mm 的範圍測光（約佔畫面 1.5%） 高光偏重測光
曝光補償,+/-5 EV 以 可以 1/2 級或 1/3 級調 級調整
自動曝光鎖,支援
包圍曝光,支援
ISO 感光值,標準範圍：ISO 100 - 51200 擴展後範圍：ISO 50 - 204800
白平衡設定,自動（3 種類型）、自然光自動適應、晴天、陰天、陰影、白熾燈、螢光燈（7 種類型）、閃光燈、色溫（2500K - 10000K）、手動預設（最多可保存 6 個數值，點測白平衡測量可在即時取景中使用）支援手動白平衡設定
自拍, 2 秒、5 秒、10 秒、20 秒；1 至 9 次曝光，每隔 0.5、1、2 或 3 秒曝光一次自拍模式
連拍,低速連拍：約 1 至 5fps 高速連拍：約 5.5fps 高速連拍（延展）：約 14fps（14-bit NEF/RAW：約 10fps）
定時拍攝,支援
"

	閃光燈 FLASHES"
閃燈模式,關閉閃燈、前簾同步、後簾同步、防紅眼、慢速同步、防紅眼慢速同步
外接閃燈,支援，熱靴
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3.2"" 吋  (210 萬 像素) 翻揭式觸控屏幕 熒光幕 ，視野率為 100 %"
光學觀景器,"0.5""、369 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,SD、SDHC、SDXC 插槽（兼容 UHS-I/II）XQD/CFexpress (Type B) 插槽
接口,USB 3.0 Type C、3.5mm 收音咪、3.5mm 耳機、HDMI（Type C）、Wi-Fi、藍牙 4.2
視頻輸出,HDMI（Type C）
"

	電源 POWER SUPPLIES"
電池種類,EN-EL15c 鋰離子充電池（亦可使用 EN-EL15b/EN-EL15a/EN-EL15 電池）
電池手柄,MB-N11 直度電池手柄
隨機電池及充電器,EN-EL15c 鋰離子充電池及MH-25a 鋰離子電池充電器支援 USB 充電及供電（PD 標準）
電池壽命,約 410 張（CIPA 標準）
支援火牛輸入,EH-5d/EH-5c/EH-5b AC 變壓器；須使用 EP-5B 電源連接器 (另行發售)
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵、防水滴
腳架座材料,金屬
機身重量,615 克
重量(含電池),705 克
體積,134 x 100.5mm x 69.5mm
"

	其它資料 OTHERS"
 ,規格比拼
