"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Nikon Z9
主要賣點,"全片幅層疊式 CMOSEXPEED 7 影像處理器8K30p 長時間攝錄支援 9 種主體深度學習 AF120fps 連拍 1,100 萬像素相片5 軸防震369 萬像素無黑屏 EVF"
相機格式,5237 萬像素，可換鏡頭式數碼相機
推出日期,約 2021 年 10 月 
耐用特性,防塵、防水滴、攝氏零下 10 度耐寒
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,5237 萬像素
有效像素,4570 萬像素
感光元件格式,35mm 全片幅
感光元件大小,35.9 x 23.9mm
感光元件種類,CMOS
最大解像度,8256 x 5504
解像度選擇,"FX (36 x 24)：8256 x 5504（4,540 萬）、6192 x 4128（2,560 萬）、4128 x 2752（1,140 萬）
DX (24 x 16)：5329 x 3592（1,940 萬）、4032 x 2688（1,080 萬）、2688 x 1792（480 萬）
1:1 (24 x 24)：5504 x 5504（3,030 萬）、4128 x 4128（1,700 萬）、2752 x 2752（760 萬）
16:9 (36 x 20)：8256 x 4640（3,830 萬）、6192 x 3840（2,150 萬）、4128 x 2320（960 萬）"
壓縮模式,JPEG (EXIF 2.32)
質素調較,精細、標準、基本
無壓縮影像格式,14-bit NEF (RAW)
影像比例,3:2、16:9、1:1
動畫解像度,"8K：7680 x 4320（幀率：24p、25p、30p）
4K：3840 x 2160（幀率：24p、25p、30p、50p、60p、100p、120p）
全高清：1920 x 1080（幀率：24p、25p、30p、50p、60p、100p、120p）"
動畫種類,H.265/HEVC (8 bit/10 bit)、H.264/AVC (8 bit)
動畫音效,線性 PCM（用於以 MOV 格式攝錄的短片）AAC（用於以 MP4 格式攝錄的短片）
訊號轉換器,14-bit
雜訊消除,關閉、低、一般、高
防手震功能,5 軸感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況,偵測範圍：-6.5 至 +19EV（星光檢視畫面 AF：-8.5 至 +19EV） 對焦模式：AF-S 單次自動對焦、AF-C 連續自動對焦、AF-F 全時自動對焦、M 手動對焦自動對焦點數目：493 點AF 區域模式：精確對焦（只適用於相片模式）、單點及動態區域 AF（S、M 及 L，只適用於相片模式）；廣闊區域 AF（S 及 L）；自動區域 AF；3D 追蹤（只適用於相片模式）；主體偵測 AF（人、飛鳥、電單車、單車、車輛、飛機及貓狗寵物）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Nikon Z
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/32000 至 900 秒，支援 B 快門
測光模式,矩陣測光 偏重中央測光：以畫面中央為中心，圍繞其四周 12mm 或 8mm 的範圍獲分配 75% 比重；亦可以整幅畫面平均計算 重點測光：以已選對焦點為中心，圍繞其四周 4mm 的範圍測光（約佔畫面 1.5%） 高光偏重測
曝光補償,+/-5 EV 以 可以 1/2 級或 1/3 級調 級調整
自動曝光鎖,支援
包圍曝光,曝光及/或閃光燈、白平衡、主動式 D-Lighting
ISO 感光值,標準範圍：ISO 64 - ISO 25600 擴展後範圍：ISO 64 - ISO 102400
白平衡設定,自動（3 種類型）、自然光自動適應、晴天、陰天、陰影、白熾燈、螢光燈（3 種類型）、閃光燈、色溫（2500K - 10000K）、手動預設（最多可保存 6 個數值，點測白平衡測量可在即時取景中使用）支援手動白平衡設定
自拍, 2 秒、5 秒、10 秒、20 秒；1 至 9 次曝光，每隔 0.5、1、2 或 3 秒曝光一次自拍模式
連拍,低速連拍：約 1 至 10fps 高速連拍：約 10 至 20fps 高速畫面擷取（C30）：約 30fps高速畫面擷取（C120）：約 120fps
定時拍攝,支援
"

	閃光燈 FLASHES"
閃燈模式,關閉閃燈、前簾同步、後簾同步、防紅眼、慢速同步、防紅眼慢速同步
外接閃燈,支援，熱靴及 ISO 519 同步終端
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3.2"" 吋  (210 萬 像素) 垂直及水平翻揭式觸控屏幕 熒光幕 ，視野率為 100 %"
光學觀景器,"0.5""、369 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,XQD/CFexpress (Type B) 插槽
接口,USB 3.2 Gen 1、3.5mm 收音咪、3.5mm 耳機、HDMI（Type A）、Wi-Fi、藍牙 5.0、1000BASE-T/100BASE-TX/10BASE-T
視頻輸出,HDMI（Type A）
"

	電源 POWER SUPPLIES"
電池種類,EN-EL18d 鋰離子充電池（亦可使用 EN-EL18/EN-EL18a/EN-EL18b/EN-EL18c 電池）
隨機電池及充電器,EN-EL18d 鋰離子充電池及MH-33 鋰離子電池充電器支援 USB 充電及供電（PD 標準）
電池壽命,約 740 張（CIPA 標準）
支援火牛輸入,EH-7P AC 變壓器
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵、防水滴、攝氏零下 10 度耐寒
腳架座材料,金屬
機身重量,1160 克
重量(含電池),1340 克
體積,149 x 149.5mm x 90.5mm
"

	其它資料 OTHERS"
 ,規格比拼
