"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A1
主要賣點,Exmor RS 層疊式全片幅 CMOS5 軸 5.5 級機身防震30fps 追焦連拍鳥類檢測自動對焦944 萬像素 EVF759 點相位檢測對焦點內置 8K30p、4K120p 攝錄
相機格式,5050 萬像素，可換鏡頭式數碼相機
推出日期,約 2021 年 1 月 
耐用特性,防水滴防塵設計
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,5050 萬像素
有效像素,5010 萬像素
感光元件格式,35mm 全片幅
感光元件大小,35.9 x 24.0 mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,8640 x 5760
解像度選擇,"[3:2]
35mm 全片幅—L: 8640 x 5760 (49.7M), M: 5616 x 3744 (21M), S: 4320 x 2880 (12.4M)
APS-C 片幅—M: 5616 x 3744 (21M), S: 4320 x 2880 (12.4M)

[4:3] 
35mm 全片幅—L: 7680 x 5760 (44.2M), M: 4992 x 3744 (18.6M), S: 3840 x 2880 (11M)
APS-C 片幅—M: 4992 x 3744 (18.6M), S: 3840 x 2880 (11M)

[16:9]
35mm 全片幅—L: 8760 x 4864 (42M), M: 5616 x 3160 (17.7M), S: 4320 x 2432 (10.5M)
APS-C 片幅—M: 5616 x 3160 (17.7M), S: 4320 x 2432 (10.5M)

[1:1] 
35mm 全片幅—L: 5760 x 5760 (33M), M: 3744 x 3744 (14M), S: 2880 x 2880 (8.2M)
APS-C 片幅—M: 3744 x 3744 (14M), S: 2880 x 2880 (8.2M)"
壓縮模式,JPEG (EXIF 2.32)
質素調較,Extra Fine、Fine、Standard、Light
無壓縮影像格式,RAW、HEIF
影像比例,3:2 / 4:3 / 16:9 / 1:1
動畫解像度,"影片錄影系統 (XAVC HS 8K)
7680 x 4320 (4:2:0, 10bit, NTSC) (Approx.): 30p (400 Mbps / 200 Mbps), 24p (400 Mbps / 200 Mbps), 7680 x 4320 (4:2:0, 10bit, PAL) (Approx.): 25p (400 Mbps / 200 Mbps)

影片錄影系統 (XAVC HS 4K)（全像素輸出，非像素合併）
3840 x 2160 (4:2:0, 10 bit, NTSC) (Approx.): 120p (200 Mbps), 60p (150 Mbps / 75 Mbps / 45 Mbps), 24p (100 Mbps / 50 Mbps / 30 Mbps); 3840 x 2160 (4:2:0, 10 bit, PAL) (Approx.): 100p (200 Mbps), 50p (150 Mbps / 75 Mbps / 45 Mbps); 3840 x 2160 (4:2:2, 10 bit, NTSC) (Approx.): 120p (280 Mbps), 60p (200 Mbps / 100 Mbps), 24p (100 Mbps / 50 Mbps); 3840 x 2160 (4:2:2, 10 bit, PAL) (Approx.): 100p (280 Mbps), 50p (200 Mbps / 100 Mbps)

影片錄影系統 (XAVC S 4K)（全像素輸出，非像素合併）
3840 x 2160 (4:2:0, 8 bit, NTSC) (Approx.): 120p (200 Mbps), 60p (150 Mbps), 30p (100 Mbps / 60 Mbps), 24p (100 Mbps / 60 Mbps); 3840 x 2160 (4:2:0, 8 bit, PAL) (Approx.): 100p (200 Mbps), 50p (150 Mbps), 25p (100 Mbps / 60 Mbps); 3840 x 2160 (4:2:2, 10 bit, NTSC) (Approx.): 120p (280 Mbps), 60p (200 Mbps), 30p (140 Mbps), 24p (100 Mbps); 3840 x 2160 (4:2:2, 10 bit, PAL) (Approx.): 100p (280 Mbps), 50p (200 Mbps), 25p (140 Mbps)

影片錄影系統 (XAVC S HD)
1920 x 1080 (4:2:0, 8 bit, NTSC) (Approx.): 120p (100 Mbps / 60 Mbps), 60p (50 Mbps / 25 Mbps), 30p (50 Mbps / 16 Mbps), 24p (50 Mbps); 1920 x 1080 (4:2:0, 8 bit, PAL) (Approx.): 100p　(100 Mbps / 60 Mbps), 50p (50 Mbps / 25 Mbps), 25p (50 Mbps / 16 Mbps); 1920 x 1080 (4:2:2, 10 bit, NTSC) (Approx.): 60p (50 Mbps), 30p (50 Mbps), 24p (50 Mbps); 1920 x 1080 (4:2:2, 10 bit, PAL) (Approx.): 50p (50 Mbps), 25p (50 Mbps)

影片錄影系統 (XAVC S-I 4K)
3840 x 2160 (4:2:2, 10 bit, NTSC) (Approx.): 60p (600 Mbps), 30p (300 Mbps), 24p (240 Mbps); 3840 x 2160 (4:2:2, 10 bit, PAL) (Approx.): 50p (500 Mbps), 25p (250 Mbps)

影片錄影系統 (XAVC S-I HD)
1920 x 1080 (4:2:2, 10 bit, NTSC) (Approx.): 60p (222 Mbps), 30p (111 Mbps), 24p (89 Mbps); 1920 x 1080 (4:2:2, 10 bit, PAL) (Approx.): 50p (185 Mbps), 25p (93 Mbps)

慢動作及快動作（拍攝幀率） 
NTSC 模式：1fps，2fps，4fps，8fps，15fps，30fps，60fps，120fps，240fps
PAL 模式：1fps，2fps，3fps，6fps，12fps，25fps，50fps，100fps，200fps"
動畫種類,XAVC S：MPEG-4 AVC/H.264、XAVC HS：MPEG-H HEVC/H.265
動畫音效,LPCM 雙聲道（48 kHz 16 位元）、LPCM 雙聲道（48 kHz 24 位元）、LPCM 4 聲道（48 kHz 24 位元）、MPEG-4 AAC-LC 雙聲道
訊號轉換器,14 bits
雜訊消除,支援
防手震功能,5 軸 5.5 級感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況,單次 AF（AF-S）；連續 AF（AF-C）；直接手動對焦（DMF）；手動對焦（MF） 425 點對比度式自動對焦點／759 點相位檢測自動對焦點（35mm 全片幅）；759 點相位檢測自動對焦點（全片幅鏡頭以 APS-C 畫角拍攝）；575 點相位檢測自動對焦點（APS-C 鏡頭）支援人類眼部／動物眼部／鳥類自動對焦（可在 AF-C 模式使用）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環
轉換鏡頭,視鏡頭而定
