"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A7C
主要賣點,"2,400 萬像素 Exmor R 全片幅 CMOS5 軸 5 級機身防震最高 ISO 204800 感光度236 萬像素 EVF693 點相位檢測對焦點側反式多角度觸控屏幕"
相機格式,2530 萬像素，可換鏡頭式數碼相機
推出日期,約 2020 年 9 月 
耐用特性,防水滴防塵設計
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,2530 萬像素
有效像素,2420 萬像素
感光元件格式,35mm 全片幅
感光元件大小,35.6 x 23.8 mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,6000 x 4000
解像度選擇,"[3:2]
35mm 全片幅—L: 6000 x 4000 (24M), M: 3936 x 2624 (10M), S: 3008 x 2000 (6M) 
APS-C 片幅—L: 3936 x 2624 (10M), M: 3008 x 2000 (6M), S: 1968 x 1312 (2.6M)

[4:3] 
35mm 全片幅—L: 5328 x 4000 (21M), M: 3488 x 2624 (9.2M), S: 2625 x 2000 (5.3M) 
APS-C 片幅—L: 3488 x 2624 (9.2M), M: 2625 x 2000 (5.3M), S: 1744 x 1312 (2.3M)

[16:9]
35mm 全片幅—L: 6000 x 3376 (20M), M: 3936 x 2216 (8.7M), S: 3008 x 1688 (5.1M) 
APS-C 片幅—L: 3936 x 2216 (8.7M), M: 3008 x 1688 (5.1M), S: 1968 x 1112 (2.2M)

[1:1] 
35mm 全片幅—L: 4000 x 4000 (16M), M: 2624 x 2624 (6.9M), S: 2000 x 2000 (4M) 
APS-C 片幅—L: 2624 x 2624 (6.9M), M: 2000 x 2000 (4M), S: 1312 x 1312 (1.7M)"
壓縮模式,JPEG (EXIF 2.31)
質素調較,Extra Fine、Fine、Standard
無壓縮影像格式,RAW
影像比例,3:2 / 4:3 / 16:9 / 1:1
動畫解像度,"影片錄影系統 (XAVC S 4K)（全像素輸出，非像素合併）
3840 x 2160（4:2:0，8 位元，NTSC）（約）：30p (100Mbps / 60Mbps)，24p (100Mbps / 60Mbps)；3840 x 2160（4:2:0，8 位元，PAL）（約）：25p (100Mbps / 60Mbps)

影片錄影系統 (XAVC S HD)
1920 x 1080（4:2:0，8 位元，NTSC）（約）：120p (100Mbps / 60Mbps)，60p (50Mbps / 25Mbps)，30p (50Mbps / 16Mbps)，24p (50Mbps)；1920 x 1080（4:2:0，8 位元，PAL）（約）：100p (100Mbps / 60Mbps)，50p (50Mbps / 25Mbps)，25p (50Mbps / 16Mbps)

慢動作及快動作（拍攝幀率） 
NTSC 模式：1fps，2fps，4fps，8fps，15fps，30fps，60fps，120fps，240fps
PAL 模式：1fps，2fps，3fps，6fps，12fps，25fps，50fps，100fps，200fps"
動畫種類,XAVC S：MPEG-4 AVC/H.264
動畫音效,XAVC S：LPCM 立體聲
訊號轉換器,14 bits
雜訊消除,支援
防手震功能,5 軸 5 級感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況, 自動 AF（AF-A）；單點 AF（AF-S）；連續 AF（AF-C）；直接手動對焦（DMF）；手動對焦（MF）  425 點對比度式自動對焦點／693 點相位檢測自動對焦點（35mm 全片幅）；299 點相位檢測自動對焦點（全片幅鏡頭以 APS-C 畫角拍攝）；221 點相位檢測自動對焦點（APS-C 鏡頭）支援人類／動物眼部自動對焦（可在 AF-C 模式及拍片時使用）
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,不支援
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,多區分割、中央偏重、定點、定點（標準 / 大）、全屏平均、高光
曝光補償,+/-5EV（曝光補償轉盤： +/-3EV（1/3 EV 級） 以 1/3EV 級調整
自動曝光鎖,支援
包圍曝光,包圍：連拍，包圍：單張，可選擇 3/5/9 幅相片。（環境燈光、閃光燈）
ISO 感光值,ISO 100 - ISO 51200（可 1/3 級調整）；可擴展至 ISO 50 - ISO 204800
白平衡設定,自動白平衡；日光；陰影；陰天；白熾燈；螢光燈；（暖白／冷白／日光白／日光）；閃光燈；色溫 2500 至 9900K；彩色濾鏡（G7 至 M7：57 級；A7 至 B7：29 級）；自訂；水中；支援手動白平衡設定支援手動白平衡設定
自拍,自拍計時（10/5/2 秒延遲）；自拍計時（連續）（10 秒延遲；3 次/5 次曝光）自拍模式
連拍, H+：最高 10fps（最多可連拍 215 張 JPEG Extra Fine L） H：最高 8fps  Mid：最高 6fps  Low：最高 3fps
定時拍攝,支援
"

	閃光燈 FLASHES"
閃燈模式,閃光燈關、自動閃光燈、強制閃燈、低速同步、後簾同步、防紅眼功能（可選擇開／關）、無線、高速同步
外接閃燈,支援，兼容多介面熱靴 Sony α 系統閃光燈
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"觸控式、3"" 吋  (921,600 像素) 多角度觸控屏幕；張開角度：約 176 度；旋轉角度：約 270 度 熒光幕 ，視野率為 100 %"
光學觀景器,"0.39""、236 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC（兼容 UHS-II）
接口,USB 3.2 Type-C、Micro HDMI（Type D）、3.5mm 耳機、3.5mm 收音咪、多介面熱靴（附數碼音效介面）
視頻輸出,Micro HDMI（Type D）
打印協定,Exif Print、Print Image Matching III、DPOF 設定
"

	電源 POWER SUPPLIES"
電池種類,NP-FZ100 專用鋰電池
隨機電池及充電器,NP-FZ100 專用鋰電池及支援 USB 充電
