"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A7R II
主要賣點,"4,240 萬像素全球首部使用全片幅背照式 CMOS 相機ISO 102400 超高感光度混合式對焦系統5 軸機身防震可直接用內置記憶卡拍 4K 影片"
相機格式,4360 萬像素，可換鏡頭式數碼相機
推出日期,約 2015 年 6 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,4360 萬像素
有效像素,4240 萬像素
感光元件大小,35.9 x 24.0mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,7952 x 5304
解像度選擇,"[3:2 比例]
35mm 全片幅：7952 x 5304（42M）；5168 x 3448（18M）；3984 x 2656（11M）
APS-C 片幅：5168 x 3448（18M）；3984 x 2656（11M）；2592 x 1728（4.5M）

[16:9 比例]
35mm 全片幅：7952 x 4472（36M）；5168 x 2912（15M）；3984 x 2240（8.9M）
APS-C 片幅：5168 x 2912（15M）；3984 x 2240（8.9M）；2592 x 1456（3.8M）

[一掃全景]
寬景模式：12416 x 1856（23M）；5536 x 2160（12M）
標準模式：8192 x 1856（15M）；3872 x 2160（8.4M）"
壓縮模式,JPEG (EXIF 2.3)
質素調較,Extra Fine、Fine、Standard
無壓縮影像格式,RAW
影像比例,3:2 / 16:9 
動畫解像度,"XAVC S 4K（全像素輸出，非像素合併）：3840 x 2160（24p/25p/30p）
XAVC S HD：1920 x 1080（24p/25p/30p/60p）
AVCHD：1920 x 1080（24p/25p/50i/50p/60i/60p）
XAVC S HD：1280 x 720（100p/120p）
MP4：1920 x 1080（50p/60p）
MP4：1280 x 720（25p/30p）"
動畫種類,XAVC S；AVCHD Ver. 2.0 相容、MPEG-4
動畫音效,立體聲
訊號轉換器,14 bits
雜訊消除,支援
防手震功能,5 軸 4.5 級感光元件防震
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距, mm
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,4X
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況,自動 AF（AF-A）；單點 AF（AF-S）；連續 AF（AF-C）；直接手動對焦（DMF）；手動對焦（MF） 35mm 全片幅：399 點相位檢測自動對焦點 APS-C 片幅：357 點相位檢測自動對焦點；25 點對比度式自動對焦點
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,未有資料
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,多區、中央、定點
曝光補償,+/-5EV（可選擇 1/3EV、1/2EV 級調校），（配合曝 以 1/3EV 或 1/2EV 級調 級調整
自動曝光鎖,支援
包圍曝光,"包圍：連續拍攝；包圍：單張，可選擇 3 / 5 / 9 幅相片；3 或 5 幅：1/3, 1/2, 2/3, 1.0, 2.0 或 3.0 EV 增減；9 幅：1/3, 1/2, 2/3 或 1.0 EV 增減"
ISO 感光值,ISO 100 - 25600（可 1/3 級調整）
白平衡設定,自動白平衡／日光／陰影／陰天／鎢絲燈／螢光燈（暖白／冷白／白天白光／日光）／閃光燈／色溫（2500 至 9900K）及彩色濾光鏡（G7 至 M7：57 級，A7 至 B7：29 級）／自訂／水底模式支援（G7 至 M7，57 級）（A7 至 B7，29 級）手動白平衡設定
自拍,自拍計時（10/2 秒延遲）；自拍計時（連續）（10 秒延遲；3 次/5 次曝光）自拍模式
連拍,最高 5fps（最多可連拍 24 張 JPEG Extra Fine L）；最低 2.5fps
定時拍攝,支援（需配合另購的應用程式）
"

	閃光燈 FLASHES"
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (1,228,800 像素) TFT LCD 熒光幕 ，視野率為 100 %"
光學觀景器,"0.5""、236 萬像素電子觀景器，光學觀景器的準確度為 100%"
"

	資料存取 DATA TRANSFER"
儲存媒體,Memory Stick PRO Duo；Memory Stick PRO-HG Duo；Memory Stick XC-HG Duo；SD 記憶卡；SDHC 記憶卡（兼容 UHS-I）；SDXC 記憶卡（兼容 UHS-I）
接口,Micro USB、Micro HDMI（Type D）、3.5mm 耳機、3.5mm 收音咪
視頻輸出,HDMI Micro（Type D）、BRAVIA Sync（連接功能表）、PhotoTV HD、4K 靜態影像檢視
打印協定,"Exif Print, PIM III, DPOF"
"

	電源 POWER SUPPLIES"
電池種類,NP-FW50 專用鋰電池
隨機電池及充電器,NP-FW50 專用鋰電池及專用充電器
電池壽命,約 290 張（觀景器）；約 340 張（LCD 屏幕）（CIPA 標準）
支援火牛輸入,支援（另購  AC-PW20 火牛）
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,582 克
重量(含電池),625 克
體積,126.9 x 95.7 x 60.3mm 
"

	其它資料 OTHERS"
 ,規格比拼
