"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony A7S II
主要賣點,"全片幅 1220 萬像 Exmor CMOS、E-Mount 接環、可調校角度 LCD、4K 影片拍攝、FHD 120fps 短片拍攝、ISO 409,600 感光度、S-Log3 Gamma"
相機格式,1220 萬像素，可換鏡頭式數碼相機
推出日期,約 2015 年 9 月 
耐用特性,防塵防水滴
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1220 萬像素
有效像素,1220 萬像素
感光元件格式,35mm Full Frame
感光元件大小,35.6 x 23.8mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,4240 x 2832
解像度選擇,Full Frame : 4240 x 2832 ; 2768 x 1848 ; 2128 x 1416 ; 4240 x 2384 ; 2768 x 1560 ; 2128 x 1200APS-C crop mode : 2768 x 1848 ; 2128 x 1416 ; 1376 x 920 ; 2768 x 1560 ; 2128 x 1200 ; 1376 x 776
壓縮模式,JPEG (Exif 2.3)
質素調較,極精細 / 精細 / 標準
無壓縮影像格式,RAW ( Sony ARW 2.3 格式 )
影像比例,3:2 / 16:9
動畫解像度,"4K : 3840 x 2160 @ 30/25/24 fps
HD : 1920 x 1080 @ 60/50/25/24 fps ; 1280 x 720 @ 30/25p
HFR : 1920 x 1080 @ 120 fps"
動畫種類,XAVC S / AVCHD / MP4
動畫音效,支援立體聲收音
多媒體功能,"內置 Wi-Fi
內置 NFC"
訊號轉換器,14 bits
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1 倍
自動對焦情況,Fast Intelligent 對比感測系統多點對焦 ( 169 點 ) / 中央 / 靈活對焦點 ( 細 / 中 / 大 ) / 局部眼部對焦功能
手動對焦,視鏡頭而定
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,Sony E 接環，可透過 LA-EA3 / LA-EA4 接環使用 Sony Alpha 鏡頭
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,肖像、風景、微距拍攝、體育活動、日落、夜景肖像、夜景、夜景手持拍攝、防止影像模糊
快門速度,1/8000 至 30 秒，支援 B 快門
測光模式,1200 區域測光支援 -3EV 至 20EV多區、中央、定點
曝光補償,-5EV 至 +5EV 以 1/3EV 級調整
自動曝光鎖,支援
包圍曝光,1/3EV - 1EV 間距連拍三或五張 ; 2 -3EV 間距連拍三張
ISO 感光值,100 - 102400，可擴展至 ISO 50 或 ISO 409600（拍片時最低 ISO 200）
白平衡設定,自動、日光、陰影、陰天、白熾燈、螢光燈 ( 4 種 )、閃光燈、自訂、水底、自訂 Kelvin 值支援手動白平衡設定
自拍,2 秒 / 10 秒自拍模式
連拍,2.5fps / 5fps ( 速度先決連拍模式 )
"

	閃光燈 FLASHES"
外接閃燈,支援，支援
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,3 吋  (1228800 像素) TFT LCD 熒光幕 ，視野率為 100 %
光學觀景器,0.5 吋、236 萬點 EVF，光學觀景器的準確度為 100%
"

	資料存取 DATA TRANSFER"
儲存媒體,SD / SDHC / SDXC / Memory Stick PRO Duo / Memory Stick PRO-HG Duo / Memory Stick XC-HG Duo
接口,"USB 2.0 , HDMI"
視頻輸出,HDMI (Type-D)
打印協定,Exif Print、Print Image Matching III、DPOF setting
"

	電源 POWER SUPPLIES"
電池種類,NP-FW50
隨機電池及充電器,NP-FW50及專用充電器
電池壽命,310 張
支援火牛輸入,支援，AC-PW20 ( 另購 )
"

	機身資料 PHYSICAL SPECIFICATIONS"
耐用特性,防塵防水滴
腳架座材料,金屬
機身重量,584 克
重量(含電池),627 克
體積,126.9 x 95.7 x 60.3mm
"

	其它資料 OTHERS"
"

	其它資料 OTHERS"
附註,"不設 Low Pass Filter
採用 BIONZ X 影像處理器
設有一掃全景模式
HDR 功能
1-5 級 D-Range Optimizer 優化技術
Peaking 手動對焦
S-Log3 Gamma
對焦系統支援最低 -4EV"
 ,規格比拼
