"

		規格總覽 GENERAL SPECIFICATIONS"
型號,Sony NEX-3N
主要賣點,"1,610 萬像素 Exmor APS HD CMOS、全新簡易變焦操控桿、ISO 16000 感光度、180 度反芒 LCD、自動構圖功能"
相機格式,1650 萬像素，可換鏡頭式數碼相機
推出日期,約 2013 年 2 月 
"








"
"

	影像規格 IMAGE SPECIFICATIONS"
感光元件像素,1650 萬像素
有效像素,1610 萬像素
感光元件大小,23.5 x 15.6 mm
感光元件種類,CMOS
感光元件生產商,Sony
最大解像度,4912 x 3264
解像度選擇,"(3:2)4912x3264 ; 3568x2368; 2448x1624(16:9)4912x2760 ; 3568x2000 ; 2448x1376一掃全景：12416x1856(最大); 8192x1856 ; 2160x3872 ; 2160x5536 ; 12416 x 18563D 一掃全景：4912x1080 ; 7152x1080 ; 1920x1080
"
壓縮模式,"JPEG  (DCF Ver. 2.0, Exif Ver.2.3, 兼容 MPF Baseline)"
質素調較,"Fine, Standard"
無壓縮影像格式,RAW
影像比例,3:2 / 16:9
動畫解像度,"AVCHD：1,920x1,080(50i: 24M FX/17M FH)/ 1,920x1,080(25p: 24M FX/17M FH)
MP4: 12M(1,440x1,080/25fps), 3M VGA(640x480/25fps)"
動畫種類,兼容 AVCHD 2.0 版本 / MPEG-4 AVC (H.264)
動畫音效,立體聲
訊號轉換器,12 bits
雜訊消除,支援
"

	鏡頭規格 LENS SPECIFICATIONS"
鏡片組合,視鏡頭而定
鏡片焦距,視鏡頭而定
135 格式焦距,視鏡頭而定
變焦能力,視鏡頭而定
數碼變焦,視鏡頭而定
光圈範圍,視鏡頭而定
焦距變換比率,1.5 倍
自動對焦情況,"對比檢測系統、25 點對焦點自動對焦 / DMF (直接手動對焦) / 手動對焦對焦範圍︰多點 (25 點) / 中央 / 靈活對焦點追蹤對焦, 對焦鎖定"
AF Assist Light,支援
手動對焦,支援
正常對焦範圍,視鏡頭而定
微距對焦範圍,視鏡頭而定
鏡頭接環,E-Mount
轉換鏡頭,視鏡頭而定
"

	曝光控制 EXPOSURE CONTROLS"
曝光模式,1. 支援光圈先決2. 支援快門先決3. 支援手動曝光
場景模式,肖像、風景、微距拍攝、體育活動、日落、夜景肖像、 夜景、夜景手持拍攝、防止移動模糊
快門速度,1/4000 至 30 秒，支援 B 快門
測光模式,1200 區測光重心偏重平均測光重點測光
曝光補償,-3EV 至 +3EV 以 1/3 EV 級調整
自動曝光鎖,支援
包圍曝光,以 1/3 至 3EV 間距拍攝 3 張
ISO 感光值,自動 / 200 / 400 / 800 / 1600 / 6400 / 12800 / 16000
白平衡設定,"自動白平衡、日光、陰影、陰天、白熾燈、螢光燈、閃光燈、色溫 (2500 至 9900K), 濾鏡 (G7 至 M7, A7 至 B7)支援手動白平衡設定"
自拍,2 秒及10 秒延時自拍自拍模式
連拍,4 fps
"

	閃光燈 FLASHES"
閃燈模式,閃光燈關、自動閃光燈、強制閃燈、低速同步閃光燈、 後簾同步閃光燈
閃燈範圍,4 米 (相等於 ISO 100)
閃燈同步模式,支援前後簾快門
"

	觀景器 VIEWFINDER"
LCD 熒光幕,"3.0 吋  (460,800 像素) 180 度翻揭式 TFT 顯示屏採用 TRILUMINOS Colour 技術 熒光幕 ，視野率為 100 %"
光學觀景器,沒有光學觀器
播放放大,13X
"

	資料存取 DATA TRANSFER"
儲存媒體,Memory Stick Duo/Pro Duo/ Pro HG Duo / SD / SDHC / SDXC
接口,"多用途/Micro USB 端子, 高速USB (USB2.0): Mass-storage, MTP"
視頻輸出,PAL / NTSC / HDMI
打印協定,PictBridge / DPOF /  Exif Print  /  PIM III
"

	電源 POWER SUPPLIES"
電池種類,鋰離子充電池 NP-FW50
隨機電池及充電器,鋰離子充電池 NP-FW50及專用充電器
電池壽命,480 張
支援火牛輸入,支援
"

	機身資料 PHYSICAL SPECIFICATIONS"
腳架座材料,金屬
機身重量,210 克
重量(含電池),269 克
體積,110 x 62 x 35 mm
"

	其它資料 OTHERS"
搖遠控制,不支援
 ,規格比拼
